id;autor;text;summary;theme;reference;time;id1;type1;id2;type2;idext1;typeext1
11;André Comte-Sponville;Mais l’Albanie d’Enver Hoxha ne l’était pas davantage, qui professait un athéisme d’État. .;L'Albanie d’Enver Hoxha se revendiquait d'un athéisme d'état.;Laicité;http://www.philomag.com/les-idees/laicite-par-andre-comte-sponville-8204;text;;;;;;
12;André Comte-Sponville;Mais l’Albanie d’Enver Hoxha ne l’était pas davantage, qui professait un athéisme d’État. .;L'Albanie d’Enver Hoxha n'était pas un Etat laïque;Laicité;http://www.philomag.com/les-idees/laicite-par-andre-comte-sponville-8205;text;11;CCON;;;;
13;André Comte-Sponville;Cela dit assez ce qu’est vraiment la laïcité : non une idéologie d’État, mais le refus, par l’État, de se soumettre à quelque idéologie que ce soit;La laïcité n'est pas une idéologie d'Etat mais le refus de l'Etat de se soumettre à quelque idéologie que ce soit;Laicité;http://www.philomag.com/les-idees/laicite-par-andre-comte-sponville-8206;text;1;CCR;;;;
14;André Comte-Sponville;Et les droits de l’homme ? demandera-t?on. Et la morale ? Ce n’est pas à eux que l’État se soumet, mais à ses propres lois et à sa propre constitution – ou aux droits de l’homme pour autant seulement que la constitution les énonce ou les garantit. […] Les droits de l’homme, pour un État laïque, ne sont pas une idéologie, encore moins une religion.;L'Etat de droit laïque ne se soumet pas à la morale et aux droits de l'homme mais à ses propres lois et sa consitutions.;Laicité;http://www.philomag.com/les-idees/laicite-par-andre-comte-sponville-8207;text;18;CON;;;;
15;André Comte-Sponville;Pourquoi, dans nos démocraties, le fait-elle ? Parce que le peuple souverain en a décidé ainsi, et ce n’est pas moi qui le lui reprocherai. […]  Ce n’est pas une croyance, c’est une volonté.  Pas une opinion, une loi.  On a le droit d’être contre. Pas de les violer.;Le peuple souverain a décidé que sa constitution devait inclure les droits de l'homme;Laicité;http://www.philomag.com/les-idees/laicite-par-andre-comte-sponville-8208;text;;;;;;
16;André Comte-Sponville;C’est mettre l’État au service des humains, comme il doit l’être, plutôt que les humains au sien. ;Inclure les droits de l'homme dans la constitution permet de mettre l'Etat au service des humains;Laicité;http://www.philomag.com/les-idees/laicite-par-andre-comte-sponville-8209;text;;;;;;
17;André Comte-Sponville;Mais la même raison interdit d’ériger les droits de l’homme en religion d’État. ;Eriger les droits de l'homme en religion d'état ne met pas l'Etat au service des humains;Laicité;http://www.philomag.com/les-idees/laicite-par-andre-comte-sponville-8210;text;;;;;;
18;André Comte-Sponville;Distinction des ordres : l’État ne doit régner ni sur les esprits ni sur les cœurs. Il ne dit ni le vrai ni le bien, mais seulement le légal et l’illégal. Il n’a pas de religion. Il n’a pas de morale. Il n’a pas de doctrine. Aux citoyens d’en avoir une, s’ils le veulent. Non pourtant que l’État doive tout tolérer, ni qu’il le puisse. Mais il n’interdit que des actions, point des pensées, et pour autant seulement qu’elles enfreignent la loi. ;L'Etat de droit laïque ne doit pas régner sur les esprits et les cœurs, ne doit pas dire le vrai et le bien, mais dire le légal et l'illégal;Laicité;http://www.philomag.com/les-idees/laicite-par-andre-comte-sponville-8211;text;;;;;;
19;André Comte-Sponville;Dans un État vraiment laïque, il n’y a pas de délit d’opinion. Chacun pense ce qu’il veut, croit ce qu’il veut. Il doit rendre compte de ses actes, non de ses idées. De ce qu’il fait, non de ce qu’il croit. ;Dans un État de droit vraiment laïque, il n’y a pas de délit d’opinion. ;Laicité;http://www.philomag.com/les-idees/laicite-par-andre-comte-sponville-8212;text;18;CON;;;;
20;Regis Debray;La laïcité , ce n'est pas une croyance, ce n'est pas une religion, c'est un cadre juridique, ce sont des règles des droits;La laïcité n'est pas une croyance, n'est pas une religion, c'est un cadre juridique, ce sont des règles des droits;Laicité;http://www.franceinter.fr/emission-le-79-regis-debray-la-laicite-cest-une-sorte-de-totem-de-gri-gri;08:00;;;;;;
21;Regis Debray;La laïcité est la règle qui permet la paix, la cohexistence entre convictions différentes. La laïcité est le moyen de la paix civile, et c'est très précieux.;La laïcité est la règle qui permet la paix, la cohexistence entre convictions différentes;Laicité;http://www.franceinter.fr/emission-le-79-regis-debray-la-laicite-cest-une-sorte-de-totem-de-gri-gri;08:35;;;;;;
